,myCellNumber,filename,genotype,sex,branchType,len3d,euclideanDist,tortuosity,path
0,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.7270451484810834,0.5576420857088733,1.3037845727817787,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
1,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.6653123677975509,0.6144916498220078,1.0827036754531387,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
2,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,0.35980501342190874,0.3332548873040737,1.0796691275336339,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
3,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.8760812648502715,0.49429687820834145,1.7723787130231714,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
4,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.7196100268438175,0.5576420857088733,1.2904514298433034,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
5,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,0.7633967244422659,0.6937253680568055,1.1004307462196703,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
6,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,1.1885170496107196,0.9997646619122212,1.188796818780809,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
7,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.35980501342190874,0.3332548873040737,1.0796691275336339,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
8,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.21076889705272064,0.21076889705272064,1.0,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
9,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,0.2721014760612291,0.2721014760612291,1.0,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
10,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,1.0523616911984548,0.8163044281836912,1.2891779768241611,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
11,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,0.3332548873040754,0.3332548873040754,1.0,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
12,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,1.3449882876171735,0.5576420857088733,2.4119203375897063,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
13,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.4215377941054413,0.3650624383505663,1.1547005383792517,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
14,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,1.0251173812194596,0.7599380655965751,1.3489485888757402,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
15,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,1.2976190589557128,0.9542967689764108,1.3597646991381447,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
16,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,0.21076889705272064,0.21076889705272064,1.0,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
17,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,1.0394809332415313,0.7599380655965751,1.3678495397194066,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
18,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.9303789238965381,0.7599380655965751,1.224282564614212,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
19,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,0.5241021175235623,0.47129358135254096,1.1120501917710588,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
20,0,12_5ADVMLEG1L1_ch2.tif,ko,male,2,0.7542894584600778,0.6084373972509445,1.2397158062080427,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
21,0,12_5ADVMLEG1L1_ch2.tif,ko,male,0,0.814348484166739,0.6665097746081474,1.2218102647414413,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
22,0,12_5ADVMLEG1L1_ch2.tif,ko,male,1,0.8307959380865789,0.7401960404060428,1.122399868055004,/Users/cudmore/box/data/sami/data/191230/BIN1_smKO_Male/Cell_12/12_5ADVMLEG1L1_ch2.tif
