,myCellNumber,filename,genotype,sex,branchType,len3d,euclideanDist,tortuosity,path
3739,6,10_5ADVMLEG1L1_ch2.tif,wt,male,3,1.2315272488166247,0.0,inf,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3740,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,2.751882742784957,2.0340345196876743,1.352918407307811,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3741,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,1.8558691560857759,1.4625264331231165,1.2689474282681545,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3742,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.6453274648764961,0.5166042403335639,1.2491718311483806,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3743,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.6099625416099874,0.6099625416099874,1.0,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3744,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,2.136097937329188,1.7785159285704084,1.2010563993352639,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3745,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,2.7357053462474026,2.406756725158587,1.136677138013249,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3746,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,1.3395906049948039,1.2423500908413572,1.0782714267663414,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3747,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,3.4682214495238024,2.1036186062637463,1.6486930849521901,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3748,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.3418485061425429,0.3418485061425429,1.0,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3749,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.7105187773564788,0.2734788049140274,2.5980762113533524,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3750,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.6688149782649478,0.6522053819103787,1.0254668189120395,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3751,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.5801361523965133,0.3243059682409453,1.7888543819998317,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3752,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,1.0181048409377849,0.951051788766308,1.0705041018412438,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3753,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,0.8937400129422663,0.8498219102368731,1.0516791838105843,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3754,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,0.8517824903893926,0.8331571177408258,1.0223551743746377,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3755,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.7105187773564788,0.3243059682409453,2.190890230020664,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3756,6,10_5ADVMLEG1L1_ch2.tif,wt,male,3,1.851023422116755,0.0,inf,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3757,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,1.0013327168418398,0.8743489788325319,1.1452323283763217,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3758,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,3.282918274337959,2.473076668349786,1.3274632025575483,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3759,6,10_5ADVMLEG1L1_ch2.tif,wt,male,3,1.152340366741834,0.0,inf,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3760,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,1.2320803234315716,1.0459600699997122,1.1779420254846924,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3761,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.6453274648764961,0.6126507985383782,1.0533365277839768,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3762,6,10_5ADVMLEG1L1_ch2.tif,wt,male,1,0.9935467675053086,0.7413069785296384,1.340263610462673,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3763,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,1.0812086131038507,0.8777255804599782,1.2318298989727927,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3764,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,0.8386015651682994,0.6685738810378119,1.2543139792816278,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
3765,6,10_5ADVMLEG1L1_ch2.tif,wt,male,2,0.9191367237268769,0.8777255804599782,1.047180057399258,/Users/cudmore/box/data/sami/data/191230/WT_Male/Cell_10_/10_5ADVMLEG1L1_ch2.tif
