enclosingFolder3,enclosingFolder2,enclosingFolder1,filename,xVoxel,yVoxel,zVoxel,unit,xPixels,yPixels,zPixels,path,voxelVolume,genotype,sex,myCellNumber,nMask,vMask,nEroded,vEroded,nRing,vRing,nBranches,nInNoMask,nInMask,nInEroded,nInRing,lenTotal,lenInMask,lenInEroded,lenInRing,dInMask,dInEroded,dInRing
200108,WT_Female,Cell_1,1_5ADVMLEG1L1_ch2.tif,0.20925273754893897,0.20925273754893897,0.4299999999998363,micron,500,176,23,/Users/cudmore/Desktop/samiVolume2/200108/WT_Female/Cell_1/1_5ADVMLEG1L1_ch2.tif,0.01882828451383464,wt,female,0,196722,3703.937786130578,36899,694.7448702759843,124822,2350.184129585867,709,0,709,184,362,1395.396817403241,1395.396817403241,326.79419067159887,730.2416006398236,0.3767333303027698,2.008502512366771,0.5937393584770432
200108,WT_Female,Cell_7,7_5ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.43000000000006366,micron,495,217,27,/Users/cudmore/Desktop/samiVolume2/200108/WT_Female/Cell_7/7_5ADVMLEG1L1_ch2.tif,0.0034732753255551072,wt,female,1,514183,1785.8991267199017,92979,322.9416664947883,311135,1080.6575184165883,1392,392,1000,148,556,2013.2045192998314,1440.1617341395702,177.99428571540275,746.876338753166,0.8064070991426401,4.459510442771595,1.332671738822248
200421,WT Female,Cell 1,Female WT cell 1_3ADVMLEG1L1_ch2.tif,0.19919251338922278,0.19919251338922278,0.43000000000006366,micron,509,234,24,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 1/Female WT cell 1_3ADVMLEG1L1_ch2.tif,0.017061392677838277,wt,female,2,167892,2864.471339467624,20187,344.4183339875213,111087,1895.2989284030207,512,0,512,134,274,934.1289251003237,934.1289251003237,227.60912604469624,490.27749345353703,0.32610866522893406,2.7121927984651606,0.492866276185478
200421,WT Female,Cell 10,Female WT cell 10_3ADVMLEG1L1_ch2.tif,0.2301779920376829,0.2301779920376829,0.43000000000006366,micron,491,188,29,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif,0.022782220447958208,wt,female,3,208714,4754.968358575149,60990,1389.4876251209712,115940,2641.3706387362745,637,0,637,371,127,1299.543502597976,1299.543502597976,730.1600530088838,263.2523060539978,0.2733022398044707,0.9352681370478816,0.4919958916556003
200421,WT Female,Cell 11,Female WT cell 11_3ADVMLEG1L1_ch2.tif,0.2071602023706585,0.2071602023706585,0.43000000000006366,micron,512,147,27,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 11/Female WT cell 11_3ADVMLEG1L1_ch2.tif,0.01845360026189117,wt,female,4,166253,3067.9664043401926,31326,578.0774818040028,104746,1932.9408130320523,592,0,592,186,281,1112.3589701361773,1112.3589701361773,354.2015219921508,506.8384439331415,0.3625720831109965,1.9242385409389164,0.5754749253761718
200421,WT Female,Cell 12,Female WT cell 12_3ADVMLEG1L1_ch2.tif,0.19729543472174735,0.19729543472174735,0.43000000000006366,micron,510,281,26,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 12/Female WT cell 12_3ADVMLEG1L1_ch2.tif,0.01673796008168108,wt,female,5,337176,5643.638428500901,97597,1633.5746900918284,190526,3189.01658252237,1270,0,1270,753,279,2408.5835491576654,2408.5835491576654,1416.75990966876,514.7351987208126,0.4267785010808087,1.474425114300878,0.7552747020376367
200421,WT Female,Cell 13,Female WT cell 13_3ADVMLEG1L1_ch2.tif,0.138106801580439,0.138106801580439,0.43000000000006366,micron,506,280,29,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 13/Female WT cell 13_3ADVMLEG1L1_ch2.tif,0.008201600116396077,wt,female,6,394364,3234.4158283024226,81014,664.4444318297118,245576,2014.116150184083,1377,0,1377,268,796,2215.2008549587754,2215.2008549587754,353.5925490821513,1265.5924061699086,0.684884372496229,3.3339143935011584,1.0998376904709861
200421,WT Female,Cell 14,Female WT cell 14_3ADVMLEG1L1_ch2.tif,0.18832746379404508,0.18832746379404508,0.4299999999998363,micron,474,253,24,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 14/Female WT cell 14_3ADVMLEG1L1_ch2.tif,0.015250910456206059,wt,female,7,308094,4698.714006094349,87177,1329.5286208406756,176071,2685.243054934657,1068,0,1068,290,495,2195.735059157658,2195.735059157658,561.886899016077,975.6405575105308,0.4673055343035849,1.6515139461753523,0.8177043992805669
200421,WT Female,Cell 15,Female WT cell 15_3ADVMLEG1L1_ch2.tif,0.23675453100821445,0.23675453100821445,0.43000000000006366,micron,512,175,25,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 15/Female WT cell 15_3ADVMLEG1L1_ch2.tif,0.024102664419758984,wt,female,8,210015,5061.921068115683,61143,1473.7092106173236,117495,2831.9425559995816,817,0,817,402,203,1695.653948382579,1695.653948382579,830.1965189366078,385.0175033083226,0.33498229734621127,1.1506028028910023,0.5987600083166481
200421,WT Female,Cell 16,Female WT cell 16_3ADVMLEG1L1_ch2.tif,0.2071602023706585,0.2071602023706585,0.43000000000006366,micron,461,148,28,/Users/cudmore/Desktop/samiVolume2/200421/WT Female/Cell 16/Female WT cell 16_3ADVMLEG1L1_ch2.tif,0.01845360026189117,wt,female,9,216585,3996.7730127216987,61966,1143.4957938283483,120331,2220.540173113626,585,1,584,332,126,1166.6735418673738,1164.385337209967,587.2825978251672,258.00347706628,0.2913313649546114,1.0182681418631911,0.5243703092195238
